feature,mean_delta_auc,std_delta_auc,mean_delta_auc_pr,std_delta_auc_pr,rank
poly_c22_17_detrended,0.00011132833713485279,5.6451490277349174e-05,0.001125324531047478,0.0008342276469711532,138
poly_c22_2_detrended,0.00011132833713485279,0.00017431269902115867,0.0031021068818253396,0.0015627727508085074,139
libdem_c22_11,0.00010861301183885397,7.126830920326086e-05,0.00041971226042525345,0.00035300133193362363,140
csd_index_delta2,0.00010589768654289955,0.0001019603744733468,0.003998320174858438,0.0006607443675280342,141
poly_c22_17,0.00010589768654288845,5.645149027737587e-05,0.0005503907452861889,0.00032622580325579475,142
poly_c22_15,9.775171065499189e-05,9.595856978890587e-05,0.0007204458166048422,0.0003861277195111949,143
global_exposure_polyarchy,9.775171065498078e-05,0.00010175930866049292,0.00030220106962621787,0.0003847991620888094,144
infant_mortality_detrended,9.232106006304975e-05,0.0005180826749678559,0.003600800778804336,0.0017648668591286768,145
mil_zscore_lag1,8.960573476710643e-05,0.0001101483865650972,0.001607660954594814,0.001156238125369919,146
mv_csd_index_delta1,8.68904094711187e-05,6.748977908949846e-05,0.0005625600644436846,0.00043747352744122044,147
libdem_c22_20,8.68904094711076e-05,4.924322257968761e-05,0.0005140663476982832,0.00035943532922783365,148
libdem_c22_10_detrended,8.417508417514208e-05,0.0001210614248461303,0.0013621442740296753,0.0010006983239563244,149
poly_c22_3,7.874443358319993e-05,3.7208654268655936e-05,0.0006451842911074257,0.0006422229674037703,150
libdem_c22_8,7.874443358318883e-05,7.178371550233262e-05,0.0005376297142843933,0.00046710490018203463,151
libdem_c22_11_detrended,7.874443358318883e-05,5.191568154553776e-05,0.0003371426433863678,0.0002393414232471502,152
poly_c22_3_detrended,7.602910828722332e-05,3.574891868167105e-05,0.0006515285767370593,0.0002731906198002737,153
libdem_c22_3,7.60291082872011e-05,6.374431360794403e-05,3.929315513790943e-05,0.00022281693248927956,154
poly_c22_11,7.059845769530337e-05,4.9904235009911944e-05,0.00028188354955667184,0.0002909610028745032,155
pagerank_detrended,7.059845769528117e-05,0.0006711487354596067,-0.012236718604505158,0.005794697516831778,156
poly_c22_20_detrended,7.059845769528117e-05,5.1519675141198765e-05,0.0004544106165582873,0.0003470110619796125,157
poly_c22_21,6.788313239932675e-05,0.00019632717826549247,0.0025434970349137776,0.0018252819536998751,158
poly_c22_20,6.516780710335013e-05,3.4346450094161546e-05,0.0006959212537091197,0.00018612409095974532,159
xcorr_trend_sig,6.24524818073624e-05,6.277303821153354e-05,0.00022976362788187376,0.00032648990726723596,160
poly_c22_8,6.24524818073624e-05,7.016779784698499e-05,2.6943084775243875e-05,0.0004229671268869999,161
protest_count_zscore_detrended,5.702183121542026e-05,0.00022076112332115159,0.0007718751939159608,0.0005665918936950258,162
libdem_c22_21_detrended,5.4306505919465844e-05,0.00012541550324529318,0.0009891468601066044,0.0007834427387230096,163
poly_c22_11_detrended,5.430650591945474e-05,0.0001254155032452825,0.0003111461041538588,0.0004830092360115376,164
election_vulnerability_x_post2015,4.8875855327557006e-05,0.00010143677438270796,0.0010849668069454644,0.0007331733271672847,165
libdem_c22_8_detrended,4.88758553275237e-05,5.6957143921469215e-05,0.00028996194978444525,0.00039476176762124384,166
years_since_election_detrended,4.8875855327501495e-05,5.837773975088474e-05,0.0003444118155719655,0.00034700317947432795,167
election_vulnerability_delta2,4.344520473559266e-05,0.00016845719016878776,0.0008121082293875093,0.0012513798654853808,168
csd_x_election,4.0729879439616036e-05,9.60012464954004e-05,0.0007795479922801495,0.0006744848003413404,169
poly_c22_8_detrended,3.8014554143639415e-05,6.425632435210978e-05,9.50060085876836e-05,0.00028027344498766655,170
poly_c22_9_detrended,3.258390355165286e-05,4.3970014849194344e-05,0.00011674514579786965,0.0001428597675815937,171
election_within_2yr,2.9868578255753952e-05,2.0035429221581096e-05,0.00023835118387970365,0.00024997972813080267,172
csd_index,2.7153252959766228e-05,0.00031536243058154814,0.0027107306005566324,0.0007494891008456044,173
years_since_election,2.172260236779078e-05,4.7550506993090804e-05,0.0004364549343769175,0.0003285857221902885,174
inflation_yoy_detrended,1.9007277071847463e-05,0.00014597241290012034,0.0015040911804827695,0.0006331676691013943,175
protest_count_zscore_lag1,1.900727707183636e-05,6.657317095118856e-05,0.0007968625552806196,0.0005319747935513863,176
poly_c22_4,1.900727707183636e-05,0.00012146676557236573,0.0004927245850471995,0.0007991089208117016,177
mil_zscore_delta1,1.3576626479949728e-05,9.600124649536725e-05,0.000440088229488278,0.0005122638981499583,178
conflict_count_zscore_lag1,1.357662647991642e-05,5.6160501276166766e-05,0.0004890203377896473,0.00013888596292896727,179
libdem_c22_20_detrended,1.3576626479883114e-05,3.6765678309240656e-05,0.00029864186080917897,0.00028306037730711813,180
poly_c22_12_detrended,1.0861301183928695e-05,0.00013252963482657086,8.479951595371515e-05,0.0013625977679932043,181
poly_c22_9,1.0861301183928695e-05,1.898571464050503e-05,0.00015924605839765516,0.0001570582399578299,182
break_in_last_3yr_libdem,8.145975887896562e-06,1.3116267284098233e-05,2.0075439237554616e-05,4.546720349681003e-05,183
libdem_c22_15_detrended,5.4306505920087565e-06,5.55001980983878e-05,0.0002030015566134913,0.00038031414360186426,184
kurt_z,5.430650591986552e-06,0.00010617195828257558,0.00012834359200191158,0.0005005449181484297,185
