country_text_id,year,global_exposure_polyarchy,global_exposure_libdem,pagerank,n_backsliding_neighbors
BEN,1987,-0.006191035318657898,,0.00650386626186595,3
BFA,1987,-0.006191035318657898,,0.00650386626186595,3
BGD,1987,-0.006060703202410939,,0.002659839107080786,3
BGR,1987,-0.006180433297169928,,0.010602021487969716,3
BHR,1987,-0.006191035318657898,,0.007291739059267466,3
BOL,1987,-0.005071693934146446,,0.006995883653196575,3
BRA,1987,-0.005570246597255572,,0.007858085081042097,3
BRB,1987,-0.006198031202311095,,0.006995883653196575,3
BTN,1987,-0.0061808989119982016,,0.002534101664924124,3
BWA,1987,-0.006191035318657898,,0.004818882309752932,3
CAF,1987,-0.0061397532529226155,,0.00427350547794021,3
CAN,1987,-0.006191035318657898,,0.008645251059480398,3
CHE,1987,-0.006191035318657898,,0.00987443817272078,3
CHL,1987,-0.006191035318657898,,0.006995883653196575,3
CHN,1987,-0.006113137898055906,,0.019474355150498123,3
CIV,1987,-0.006184255938645992,,0.006779380011905813,3
CMR,1987,-0.006191035318657898,,0.004938750810799917,3
COD,1987,-0.006191035318657898,,0.006374835176435443,3
COG,1987,-0.006191035318657898,,0.004651615766959047,3
COL,1987,-0.006233010620577077,,0.006995883653196575,3
COM,1987,-0.006191035318657898,,0.0013037438801065371,3
CPV,1987,-0.006125996656039238,,0.00650386626186595,3
CRI,1987,-0.006198300283882725,,0.007264965224827013,3
CUB,1987,-0.006191035318657898,,0.002088173389924102,3
CYP,1987,-0.006173744816538937,,0.008645251059480398,3
CZE,1987,-0.006167595754839238,,0.011719781909330314,3
DDR,1987,-0.006146558949904452,,0.011119092188361622,3
DEU,1987,-0.006191035318657898,,0.00472554243999316,3
DJI,1987,-0.006191035318657898,,0.008279907451443597,3
DNK,1987,-0.006191035318657898,,0.008954193917620356,3
DOM,1987,-0.006212022969617488,,0.006995883653196575,3
DZA,1987,-0.006191035318657898,,0.00777814178317654,3
ECU,1987,-0.006198031202311095,,0.006995883653196575,3
EGY,1987,-0.006172830070396809,,0.003641049652217884,3
ERI,1987,-0.006191035318657898,,0.0020630059120353966,3
ESP,1987,-0.006181266017029351,,0.009769301628546204,3
ETH,1987,-0.006191035318657898,,0.0062054398163125975,3
FIN,1987,-0.006191035318657898,,0.008645251059480398,3
FJI,1987,-0.006191035318657898,,0.0010043521928356212,3
FRA,1987,-0.006229078493057607,,0.01268105813323631,3
GAB,1987,-0.006191035318657898,,0.004094883299890198,3
GBR,1987,-0.006191035318657898,,0.009574819024421411,3
GHA,1987,-0.006191035318657898,,0.007180829574430295,3
GIN,1987,-0.006191035318657898,,0.007180829574430295,3
