country_text_id,year,years_since_break_poly,years_since_break_libdem,break_in_last_3yr_poly,break_in_last_3yr_libdem
ARG,1910,55,48,0,0
ARG,1911,56,49,0,0
ARG,1912,0,50,1,0
ARG,1913,1,0,1,1
ARG,1914,2,1,1,1
ARG,1915,3,2,0,1
ARG,1916,4,3,0,0
ARG,1917,5,4,0,0
ARG,1918,6,5,0,0
ARG,1919,7,6,0,0
ARG,1920,8,7,0,0
ARG,1921,9,8,0,0
ARG,1922,10,9,0,0
ARG,1923,11,10,0,0
ARG,1924,12,11,0,0
ARG,1925,13,12,0,0
ARG,1926,14,13,0,0
ARG,1927,15,14,0,0
ARG,1928,16,15,0,0
ARG,1929,17,16,0,0
ARG,1930,0,0,1,1
ARG,1931,1,1,1,1
ARG,1932,2,2,1,1
ARG,1933,3,3,0,0
ARG,1934,4,4,0,0
ARG,1935,5,5,0,0
ARG,1936,6,6,0,0
ARG,1937,7,7,0,0
ARG,1938,8,8,0,0
ARG,1939,9,9,0,0
ARG,1940,10,10,0,0
ARG,1941,11,11,0,0
ARG,1942,12,12,0,0
ARG,1943,13,13,0,0
ARG,1944,14,14,0,0
ARG,1945,15,15,0,0
ARG,1946,16,16,0,0
ARG,1947,17,17,0,0
ARG,1948,18,18,0,0
ARG,1949,19,19,0,0
ARG,1950,20,20,0,0
ARG,1951,21,21,0,0
ARG,1952,22,22,0,0
ARG,1953,23,23,0,0
ARG,1954,24,24,0,0
ARG,1955,25,25,0,0
ARG,1956,26,26,0,0
ARG,1957,27,27,0,0
ARG,1958,0,28,1,0
ARG,1959,1,0,1,1
ARG,1960,2,1,1,1
ARG,1961,3,2,0,1
ARG,1962,4,3,0,0
ARG,1963,5,4,0,0
ARG,1964,6,5,0,0
ARG,1965,7,6,0,0
ARG,1966,0,0,1,1
ARG,1967,1,1,1,1
ARG,1968,2,2,1,1
ARG,1969,3,3,0,0
ARG,1970,4,4,0,0
ARG,1971,5,5,0,0
ARG,1972,6,6,0,0
ARG,1973,0,7,1,0
ARG,1974,1,8,1,0
ARG,1975,2,9,1,0
ARG,1976,3,10,0,0
ARG,1977,0,11,1,0
ARG,1978,1,12,1,0
ARG,1979,2,13,1,0
ARG,1980,3,14,0,0
ARG,1981,4,15,0,0
ARG,1982,5,16,0,0
ARG,1983,6,17,0,0
ARG,1984,0,0,1,1
ARG,1985,1,1,1,1
ARG,1986,2,2,1,1
ARG,1987,3,3,0,0
ARG,1988,4,4,0,0
ARG,1989,5,5,0,0
ARG,1990,6,6,0,0
ARG,1991,7,7,0,0
ARG,1992,8,8,0,0
ARG,1993,9,9,0,0
ARG,1994,10,10,0,0
ARG,1995,11,11,0,0
ARG,1996,12,12,0,0
ARG,1997,13,13,0,0
ARG,1998,14,14,0,0
ARG,1999,15,15,0,0
ARG,2000,16,16,0,0
ARG,2001,17,17,0,0
ARG,2002,18,18,0,0
ARG,2003,19,19,0,0
ARG,2004,20,20,0,0
ARG,2005,21,21,0,0
ARG,2006,22,22,0,0
ARG,2007,23,23,0,0
ARG,2008,24,24,0,0
ARG,2009,25,25,0,0
ARG,2010,26,26,0,0
ARG,2011,27,27,0,0
ARG,2012,28,28,0,0
ARG,2013,29,29,0,0
ARG,2014,30,30,0,0
ARG,2015,31,31,0,0
ARG,2016,32,32,0,0
ARG,2017,33,33,0,0
ARG,2018,34,34,0,0
ARG,2019,35,35,0,0
ARG,2020,36,36,0,0
ARG,2021,37,37,0,0
ARG,2022,38,38,0,0
ARG,2023,39,39,0,0
ARG,2024,40,40,0,0
ARG,2025,41,41,0,0
ARM,1990,99,99,0,0
ARM,1991,99,99,0,0
ARM,1992,99,99,0,0
ARM,1993,99,99,0,0
ARM,1994,99,99,0,0
ARM,1995,99,99,0,0
ARM,1996,0,0,1,1
ARM,1997,1,1,1,1
ARM,1998,2,2,1,1
ARM,1999,3,3,0,0
ARM,2000,4,4,0,0
ARM,2001,5,5,0,0
ARM,2002,6,6,0,0
ARM,2003,7,7,0,0
ARM,2004,8,8,0,0
ARM,2005,9,9,0,0
ARM,2006,10,10,0,0
ARM,2007,11,11,0,0
ARM,2008,12,12,0,0
ARM,2009,13,13,0,0
ARM,2010,14,14,0,0
ARM,2011,15,15,0,0
ARM,2012,16,16,0,0
ARM,2013,17,17,0,0
ARM,2014,18,18,0,0
ARM,2015,19,19,0,0
ARM,2016,20,20,0,0
ARM,2017,21,21,0,0
ARM,2018,0,0,1,1
ARM,2019,1,1,1,1
ARM,2020,2,2,1,1
ARM,2021,3,3,0,0
ARM,2022,4,4,0,0
ARM,2023,5,5,0,0
ARM,2024,6,6,0,0
ARM,2025,7,7,0,0
AUS,1789,99,99,0,0
AUS,1790,99,99,0,0
AUS,1791,99,99,0,0
AUS,1792,99,99,0,0
AUS,1793,99,99,0,0
AUS,1794,99,99,0,0
AUS,1795,99,99,0,0
AUS,1796,99,99,0,0
AUS,1797,99,99,0,0
AUS,1798,99,99,0,0
AUS,1799,99,99,0,0
AUS,1800,99,99,0,0
AUS,1801,99,99,0,0
AUS,1802,99,99,0,0
AUS,1803,99,99,0,0
AUS,1804,99,99,0,0
AUS,1805,99,99,0,0
AUS,1806,99,99,0,0
AUS,1807,99,99,0,0
AUS,1808,99,99,0,0
AUS,1809,99,99,0,0
AUS,1810,99,99,0,0
AUS,1811,99,99,0,0
AUS,1812,99,99,0,0
AUS,1813,99,99,0,0
AUS,1814,99,99,0,0
AUS,1815,99,99,0,0
AUS,1816,99,99,0,0
AUS,1817,99,99,0,0
AUS,1818,99,99,0,0
AUS,1819,99,99,0,0
AUS,1820,99,99,0,0
AUS,1821,99,99,0,0
AUS,1822,99,99,0,0
AUS,1823,99,99,0,0
AUS,1824,0,99,1,0
AUS,1825,1,0,1,1
AUS,1826,2,1,1,1
AUS,1827,3,2,0,1
AUS,1828,4,3,0,0
AUS,1829,5,4,0,0
AUS,1830,6,5,0,0
AUS,1831,7,6,0,0
AUS,1832,8,7,0,0
AUS,1833,9,8,0,0
AUS,1834,10,9,0,0
AUS,1835,11,10,0,0
AUS,1836,12,11,0,0
AUS,1837,13,12,0,0
AUS,1838,14,13,0,0
AUS,1839,15,14,0,0
AUS,1840,16,15,0,0
AUS,1841,17,16,0,0
AUS,1842,18,17,0,0
AUS,1843,0,0,1,1
AUS,1844,1,1,1,1
AUS,1845,2,2,1,1
AUS,1846,3,3,0,0
AUS,1847,4,4,0,0
AUS,1848,5,5,0,0
AUS,1849,6,6,0,0
AUS,1850,7,7,0,0
AUS,1851,8,8,0,0
AUS,1852,9,9,0,0
AUS,1853,10,10,0,0
AUS,1854,11,11,0,0
AUS,1855,12,12,0,0
AUS,1856,13,13,0,0
AUS,1857,0,0,1,1
AUS,1858,1,1,1,1
AUS,1859,2,2,1,1
AUS,1860,3,3,0,0
AUS,1861,4,4,0,0
AUS,1862,5,5,0,0
AUS,1863,6,6,0,0
AUS,1864,7,7,0,0
AUS,1865,8,8,0,0
AUS,1866,9,9,0,0
AUS,1867,10,10,0,0
AUS,1868,11,11,0,0
AUS,1869,12,12,0,0
AUS,1870,13,13,0,0
AUS,1871,14,14,0,0
AUS,1872,15,15,0,0
AUS,1873,16,16,0,0
AUS,1874,17,17,0,0
AUS,1875,18,18,0,0
AUS,1876,19,19,0,0
AUS,1877,20,20,0,0
AUS,1878,21,21,0,0
AUS,1879,22,22,0,0
AUS,1880,23,23,0,0
AUS,1881,24,24,0,0
AUS,1882,25,25,0,0
AUS,1883,26,26,0,0
AUS,1884,27,27,0,0
AUS,1885,28,28,0,0
AUS,1886,29,29,0,0
AUS,1887,30,30,0,0
AUS,1888,31,31,0,0
AUS,1889,32,32,0,0
AUS,1890,33,33,0,0
AUS,1891,34,34,0,0
AUS,1892,35,35,0,0
AUS,1893,36,36,0,0
AUS,1894,37,37,0,0
AUS,1895,38,38,0,0
AUS,1896,39,39,0,0
AUS,1897,40,40,0,0
AUS,1898,41,41,0,0
AUS,1899,42,42,0,0
AUS,1900,43,43,0,0
AUS,1901,44,44,0,0
AUS,1902,0,0,1,1
AUS,1903,1,1,1,1
