indicator,factor_1,factor_2,factor_3,factor_4
v2x_horacc,0.8611767915239366,0.32990595637389386,-0.026435334333261652,-0.0874695554653494
v2x_ex_hereditary,-0.2013898111029016,0.025907976641901836,-0.2643724425278437,-0.043039578713463846
v2x_ex_military,-0.32403457502671296,-0.42281019145014,-0.3655044269621482,0.15128656362128393
v2x_ex_party,-0.4477524342891157,0.31590226147336326,0.19741525210158006,-0.31615556183070614
v2x_ex_direlect,0.007138120229333661,-0.4220493081233353,0.4235336620133391,0.41592352466220833
v2x_ex_confidence,0.587063754306136,0.29937320940223244,-0.03088137089702457,-0.3789379493361804
v2xnp_regcorr,-0.4609427121154507,-0.7271914731473672,0.21599916168151143,0.10776705801506836
v2x_neopat,-0.7832685301562501,-0.5214787514713761,0.09447693755533734,0.08962732796269127
v2xnp_pres,-0.8663316863966105,-0.33139887050314365,0.019097668353049102,0.09261461114389638
v2xnp_client,-0.4134915617042808,-0.7552667649798344,0.012318992273669394,0.06980542174916651
v2x_civlib,0.9423833650857806,0.22776911465277833,0.12649905525536065,0.01934745466945488
v2x_clpriv,0.9081019399464396,0.13923386345825056,0.15187279979643922,0.09369908011390696
v2x_clpol,0.9789479684862171,0.10821850587007054,0.11214301642651564,-0.004772050758385898
v2x_clphy,0.7944751323384791,0.38884846166053555,0.10492917459076243,-0.023889233903851923
v2xpe_exlsocgr,-0.6580064998475855,-0.576509962352296,-0.17745640868883128,-0.11605582363775296
v2xpe_exlgender,-0.5718570134126456,-0.6030824109563688,-0.3128597678021229,-0.11146197308395248
v2xpe_exlecon,-0.5165204702810186,-0.7405836356040102,-0.1795611302794738,-0.050081727839125435
v2xpe_exlpol,-0.7652025837271376,-0.44691216549386914,-0.0607855293441081,-0.07614974818568972
v2xpe_exlgeo,-0.5311626762918822,-0.6980882560253908,-0.18027247724377204,-0.04648569330631984
v2x_corr,-0.42904391829551247,-0.752141084563924,0.23718291743539283,0.10754444050327791
v2x_pubcorr,-0.4583552315531982,-0.7014487187831198,0.22881101994570077,0.06707498015690913
v2x_execorr,-0.49080507954029845,-0.6951294945545001,0.21112006151826526,0.09433079177780104
v2x_gender,0.7825813651222454,0.3852347233909834,0.3466129783896853,0.10234839451519986
v2x_gencl,0.8310438665183769,0.31779185312708813,0.19477694521771455,0.10661650798483441
v2x_gencs,0.7747300521819077,0.3043765280329921,0.298812418343182,0.11962119754792787
v2x_genpp,0.4826594911036831,0.3970268000248116,0.43810881872379315,0.04690037791942847
v2x_rule,0.7219370164297036,0.5769605674625022,-0.12127698749876861,-0.08520339971206033
v2xcl_acjst,0.7969134628580564,0.40284744881712564,0.07057732709394632,0.004809041142999579
v2xcl_prpty,0.8030067717063399,0.17480639921143046,0.14274157707071145,0.11937950086022851
v2xdd_i_ci,0.15305316003299138,0.2054033528103506,-0.05760908812464008,0.5630588821731248
v2xdd_i_rf,0.1656526134599788,0.20771470845347123,-0.1325782037753472,0.5462723237280772
v2xdd_i_or,0.1666477667594256,0.10926730474351294,0.03401340528988611,0.42425132638195256
v2xdd_i_pl,-0.0014328896067505106,-0.02708375611433518,0.2731758885208413,0.2930209085635615
v2xdd_cic,0.1810815775776341,0.2352053087596255,-0.10599123085566428,0.6322121937189116
v2xdd_toc,0.09126084009654317,0.03903020045791218,0.23617653284226006,0.4682269700236691
v2xcs_ccsi,0.9553077032292439,0.07743273387000382,0.0725377038397541,-0.015982515901427637
v2x_elecreg,0.31966279630394345,0.10227613293552879,0.6939590515697034,-0.05940945345931237
v2xex_elecreg,0.13194595670584242,-0.3758894065694189,0.48503674015782294,0.4070348885407993
v2xlg_elecreg,0.3115094446645683,0.11986322564470636,0.6906428105636653,-0.07039761342851825
v2x_EDcomp_thick,0.8820805546428439,0.32007365768680374,0.20636141547198894,0.00904103669416477
v2x_freexp,0.9646627908204833,0.15728020742018148,0.09029186289473373,0.011617470494897086
v2xme_altinf,0.9702918048258744,0.022166468877803325,0.05039576359360831,-0.031236917450622622
v2xcl_dmove,0.7973696392479781,0.1412648327729114,0.21946746572089543,0.11566806393979576
v2xcl_slave,0.693571729884805,0.25483587942287,0.1862667347516527,0.1327322107150253
