country_text_id,year,nscm_resid_full_0,nscm_resid_domestic_0,nscm_resid_truedom_0,nscm_resid_full_1,nscm_resid_domestic_1,nscm_resid_truedom_1,nscm_resid_full_2,nscm_resid_domestic_2,nscm_resid_truedom_2,nscm_resid_full_3,nscm_resid_domestic_3,nscm_resid_truedom_3,nscm_resid_full_4,nscm_resid_domestic_4,nscm_resid_truedom_4
KAZ,1990,-2.9748517e-06,-0.0039750678,-7.728808e-06,-0.0010043334,-0.032292243,-0.008302816,-0.57359195,-0.765214,-0.92905194,-0.4239989,-0.18580462,-0.062356982,-0.0014019398,-0.012714129,-0.00028056567
KEN,1990,-9.2871986e-08,-1.7572647e-05,-9.446424e-09,-0.0001450871,-0.0015679479,-6.395882e-05,-0.39768034,-0.4031639,-0.51485306,0.39852086,0.40895233,0.515159,-0.0006953589,-0.0042028674,-0.00024195494
KGZ,1990,-2.2494387e-06,-0.0040072314,-7.728808e-06,-0.00079471094,-0.03226596,-0.008302816,-0.48905236,-0.76886284,-0.92905194,-0.5086548,-0.18279873,-0.062356982,-0.0014959848,-0.01206523,-0.00028056567
KHM,1990,-1.0236312e-10,-3.9464976e-07,-6.896925e-12,-1.0442412e-09,-4.54741e-07,-9.117274e-11,-9.536427e-05,-0.012594059,-0.0005338095,-0.8480287,-0.9486126,-0.7541328,0.84812415,0.96120745,0.7546666
KOR,1990,-0.0022284186,-0.04959904,-0.0011767949,0.5449654,0.5304973,0.280051,-0.53637636,-0.45987207,-0.27789173,-0.006026484,-0.016567145,-0.0009149448,-0.000334149,-0.0044590738,-6.755351e-05
LAO,1990,-2.0856749e-11,-1.3620425e-07,-7.800932e-13,-3.214597e-11,-1.5266525e-07,-6.1323483e-13,-2.703338e-07,-0.0006197111,-2.9283299e-06,-0.005601009,-0.10729554,-0.0068844254,0.0056012273,0.10791546,0.0068873763
LBN,1990,-2.605824e-06,-0.0010815999,-1.7555531e-07,-0.0009391507,-0.010552381,-0.0013290474,0.00460732,0.039118707,0.0072505474,-0.0036565354,-0.027357483,-0.0059171445,-9.031413e-06,-0.00012717352,-4.1658577e-06
LBR,1990,-1.777875e-07,-0.00022806299,-2.0715467e-08,-6.988352e-05,-0.00086972886,-0.0006483569,0.30368924,0.3496704,0.16432643,-0.30355874,-0.34816787,-0.1636699,-6.0390335e-05,-0.00040472735,-8.152419e-06
LKA,1990,-1.5317169e-06,-0.00063909305,-2.003341e-06,-0.010653968,-0.0712994,-0.020442659,0.017236114,0.1202786,0.028976262,-0.0065682973,-0.047355115,-0.008507994,-1.2251183e-05,-0.0009850609,-2.3537836e-05
LSO,1990,-6.983694e-05,-0.007659853,-6.323824e-06,-0.00012133764,-0.0010078755,-0.00034103676,-0.14635783,0.14327443,0.26507354,0.14693224,-0.13002163,-0.2625619,-0.00038317533,-0.004585035,-0.0021643357
LTU,1990,-2.688502e-06,-0.0040447507,-7.728808e-06,-0.0008374551,-0.03001889,-0.008302816,-0.53943497,-0.7674,-0.92905194,-0.4582395,-0.18590169,-0.062356982,-0.0014853686,-0.01263461,-0.00028056567
LUX,1990,3.2544136e-05,0.00074738264,0.00015628338,-1.3110776e-05,-0.00049379683,-0.00015456301,-9.098465e-06,-0.00022863805,-5.550777e-07,-1.5963301e-06,-4.1995017e-06,-2.3241793e-07,-8.796755e-06,-2.0675583e-05,-8.758121e-07
LVA,1990,-2.7945546e-06,-0.004259362,-7.728808e-06,-0.000716969,-0.025037343,-0.008302816,-0.5438483,-0.76940924,-0.92905194,-0.45390654,-0.18848813,-0.062356982,-0.0015254455,-0.012805955,-0.00028056567
MAR,1990,-4.3070063e-08,-2.7723392e-05,-2.9576654e-09,-2.7469816e-06,-0.00013141951,-1.6282853e-06,-0.017707858,-0.13354465,-0.097695455,0.03141713,0.16261703,0.10090101,-0.013706428,-0.028913207,-0.003204005
MDA,1990,-2.4215701e-06,-0.003951746,-7.728808e-06,-0.0009191757,-0.035585333,-0.008302816,-0.52629834,-0.7698502,-0.92905194,-0.4713629,-0.17854041,-0.062356982,-0.0014172207,-0.012072287,-0.00028056567
MDV,1990,-6.391373e-10,-1.0031895e-06,-4.3763205e-11,-8.610451e-09,-2.7255737e-06,-1.8047007e-09,-0.000102337835,-0.0058677415,-0.0011769453,0.095583975,0.22786987,0.07437122,-0.09548168,-0.2219984,-0.073194236
MEX,1990,-5.1997077e-08,-8.774408e-05,-4.0589253e-08,-0.001550692,-0.034383807,-0.0036990338,0.0035020113,0.046228766,0.006831825,-0.0019506785,-0.01170696,-0.0031306027,-6.7635966e-07,-5.0298364e-05,-2.0634038e-06
MKD,1990,-2.8753611e-06,-0.003952417,-7.728808e-06,-0.00096187566,-0.03779022,-0.008302816,-0.5111795,-0.7584983,-0.92905194,-0.4860326,-0.1856299,-0.062356982,-0.0018230821,-0.014129138,-0.00028056567
MLI,1990,-3.1196688e-08,-9.757898e-06,-5.913904e-09,-0.00014985548,-0.0033357614,-0.00015694015,-0.23764217,-0.21933252,-0.3015507,0.23787957,0.22327444,0.3017629,-8.758532e-05,-0.0005964929,-5.5326207e-05
MMR,1990,-6.3217744e-11,-1.4366523e-06,-3.4514587e-12,-7.1285244e-10,-3.9765854e-07,-3.3615818e-10,-4.3338845e-05,-0.004986662,-0.00049782416,0.00939703,0.019617915,0.002755046,-0.009353739,-0.01462946,-0.0022572766
